Rank,Movie,Release Date,Distributor,Genre,2022 Gross,Tickets Sold
271,Apocalypse Now,"Aug 15, 1979",United Artists,Action,"$64,349","7,017"
272,Le temps des secrets,"Apr 1, 2022",Mongrel Media,Drama,"$64,248","7,006"
273,Summering,"Aug 12, 2022",Bleecker Street,Drama,"$57,770","6,299"
274,Murina,"Jul 8, 2022",Kino Lorber,Drama,"$55,762","6,080"
275,See For Me,"Jan 7, 2022",IFC Midnight,Thriller/Suspense,"$55,191","6,018"
276,On the Count of Three,"May 13, 2022",United Artists,Drama,"$54,515","5,944"
277,Ahed’s Knee,"Mar 18, 2022",Kino Lorber,Drama,"$52,702","5,747"
278,Memoria,"Apr 1, 2022",Neon,Drama,"$52,656","5,742"
279,Piggy,"Oct 7, 2022",Magnet Releasing,Horror,"$50,966","5,557"
280,Free Chol Soo Lee,"Aug 12, 2022",MUBI,Documentary,"$50,083","5,461"
281,Vesper,"Sep 30, 2022",IFC Films,Adventure,"$49,493","5,397"
282,EO,"Nov 18, 2022",Janus Films,Drama,"$49,419","5,389"
283,Cat Daddies,"Oct 14, 2022",Gray Hat Productions,Documentary,"$48,595","5,299"
284,Poly Styrene: I Am a Cliché,"Feb 2, 2022",Utopia,Documentary,"$48,544","5,293"
285,Lux Aeterna,"May 6, 2022",Yellow Veil Pictures,Thriller/Suspense,"$47,039","5,129"
286,Give Me Five,"Sep 23, 2022",Well Go USA,Comedy,"$47,033","5,129"
287,After Yang,"Mar 4, 2022",A24,Drama,"$46,872","5,111"
288,Loving Highsmith,"Sep 2, 2022",Zeitgeist,Multiple Genres,"$46,172","5,035"
289,You Are Not My Mother,"Mar 25, 2022",Magnet Releasing,Horror,"$45,040","4,911"
290,1982,"Jun 10, 2022",Tricycle Logic,Drama,"$43,829","4,779"
291,Take Me to the River: New O…,"Apr 22, 2022",360 Distribution,Documentary,"$43,563","4,750"
292,All That Breathes,"Oct 21, 2022",Submarine Deluxe,Documentary,"$43,467","4,740"
293,Ali and Ava,"Jul 29, 2022",Greenwich,Drama,"$43,358","4,728"
294,Punch 9 for Harold Washington,"Sep 23, 2022",Tallgrass Films,Documentary,"$43,170","4,707"
295,Anais in Love,"Apr 29, 2022",Magnolia Pictures,Comedy,"$42,941","4,682"
296,Poser,"Jun 3, 2022",Oscilloscope Pict…,Drama,"$42,179","4,599"
297,A Chiara,"May 27, 2022",Neon,Drama,"$41,925","4,571"
298,Jane by Charlotte,"Mar 18, 2022",Utopia,Documentary,"$41,080","4,479"
